Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Ignition Total Timing (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Knock Count (Combined) (Knock Events),Manifold Relative Pressure (psi),Mass Airflow (g/s),Throttle Sensor Voltage (V),A/F Learning #1 (%),Intake Air Temperature (F),Mass Airflow Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier)
35811,12.86,13.68,176,2854,17.50,18.83,0.00,15.96,19.22,1.19,0.00,0,1.16,56.35,1.16,-6.25,91,2.82,96.0693
35885,12.98,13.76,176,2840,17.50,18.87,0.00,15.96,19.22,1.19,0.00,0,1.16,56.08,1.16,-6.25,91,2.82,96.0724
35958,12.86,13.76,176,2852,17.50,18.78,0.00,15.96,19.22,1.19,0.00,0,1.16,56.59,1.16,-5.47,91,2.82,96.0541
36033,12.75,13.76,176,2847,17.50,18.83,0.00,15.96,19.22,1.18,0.00,0,1.16,56.24,1.16,-5.47,91,2.82,96.0602
36105,12.63,13.68,176,2847,17.50,18.83,0.00,15.82,19.22,1.19,0.00,0,1.02,56.36,1.16,-5.47,91,2.82,96.0693
36178,12.63,13.68,176,2861,17.50,18.92,0.00,15.96,19.22,1.18,0.00,0,1.16,56.16,1.16,-5.47,91,2.82,95.9961
36251,12.63,13.68,176,2861,18.00,18.92,0.00,15.82,19.22,1.18,0.00,0,1.02,56.07,1.16,-4.69,91,2.80,95.9930
36325,12.63,13.68,176,2850,17.50,18.86,0.00,15.82,18.82,1.19,0.00,0,1.02,56.15,1.16,-4.69,91,2.82,95.9747
36397,12.63,13.68,176,2855,17.50,18.85,0.00,15.82,18.82,1.18,0.00,0,1.02,56.03,1.14,-4.69,91,2.80,95.9900
36471,12.52,13.76,176,2856,18.00,18.88,0.00,15.82,18.43,1.17,0.00,0,1.02,56.03,1.14,-4.69,91,2.82,95.9290
36544,12.52,13.76,176,2845,18.00,18.89,0.00,15.67,18.43,1.16,0.00,0,1.02,55.19,1.14,-3.91,91,2.80,95.8038
36617,12.40,13.68,176,2864,18.00,18.81,0.00,15.67,18.43,1.16,0.00,0,0.87,55.04,1.14,-3.91,91,2.80,95.7001
36689,12.52,13.68,176,2869,19.00,18.97,0.00,15.53,18.43,1.15,0.00,0,0.87,54.94,1.14,-3.91,91,2.80,95.7123
36763,12.52,13.68,176,2861,19.00,18.92,0.00,15.53,18.04,1.14,0.00,0,0.73,54.55,1.12,-3.12,91,2.80,95.5811
36836,12.52,13.76,176,2869,19.00,18.36,0.00,15.38,18.04,1.14,0.00,0,0.58,54.47,1.12,-3.12,91,2.78,95.5231
36908,12.40,13.68,176,2864,19.00,18.33,0.00,15.38,17.65,1.13,0.00,0,0.58,54.10,1.12,-3.12,91,2.78,95.4010
36983,12.40,13.68,176,2856,19.50,18.25,0.00,15.24,17.65,1.12,0.00,0,0.44,53.28,1.10,-3.12,91,2.78,95.3522
37056,12.40,13.76,176,2852,20.00,18.28,0.00,14.95,17.25,1.10,0.00,0,0.29,52.80,1.10,-3.12,91,2.76,95.1416
37129,12.52,13.68,176,2857,20.50,17.64,0.00,14.80,16.86,1.09,0.00,0,0.15,51.78,1.10,-3.12,91,2.76,94.9921
37202,12.40,13.76,176,2873,21.00,17.68,0.00,14.65,16.86,1.08,0.00,0,0.00,51.08,1.10,-3.12,91,2.74,94.8486
37274,12.52,13.68,176,2872,21.50,17.16,0.00,14.51,16.86,1.06,0.00,0,-0.15,50.73,1.08,-2.34,91,2.72,94.7357
37348,12.52,13.76,176,2870,22.50,16.53,0.00,14.51,16.86,1.06,0.00,0,-0.29,50.38,1.08,-3.12,91,2.72,94.4916
37421,12.86,13.68,176,2876,23.00,15.95,0.00,14.36,16.47,1.04,0.00,0,-0.44,49.70,1.08,-3.12,91,2.72,94.2688
37495,13.44,13.68,176,2861,24.50,15.26,0.00,14.22,16.47,1.02,0.00,0,-0.58,48.46,1.06,-3.91,91,2.70,93.9758
37567,13.78,13.84,176,2868,24.50,15.27,0.00,14.07,16.08,1.01,0.00,0,-0.73,48.27,1.06,-3.91,91,2.70,93.7653
37640,14.13,13.76,176,2864,25.00,15.29,0.00,13.78,16.08,0.99,0.00,0,-0.87,48.04,1.06,-3.91,91,2.70,93.5638
37714,14.24,13.84,176,2874,25.00,14.66,0.00,13.64,16.08,0.99,0.00,0,-1.02,47.53,1.06,-4.69,91,2.70,93.3868
37787,14.36,13.76,176,2876,25.00,14.72,0.00,13.64,15.69,0.98,0.00,0,-1.16,46.42,1.06,-4.69,91,2.68,93.1915
37860,14.47,13.84,176,2876,26.00,14.72,0.00,13.49,15.69,0.96,0.00,0,-1.16,45.79,1.06,-5.47,91,2.66,93.0939
37932,14.59,13.84,176,2871,27.00,14.09,0.00,13.49,15.69,0.95,0.00,0,-1.31,45.77,1.04,-5.47,91,2.66,92.8406
38006,14.59,13.76,176,2861,27.00,13.43,0.00,13.20,15.69,0.95,0.00,0,-1.60,44.71,1.04,-6.25,91,2.66,92.6544
38079,14.81,13.84,176,2864,27.50,13.44,0.00,13.20,15.29,0.93,0.00,0,-1.60,44.29,1.04,-6.25,91,2.66,92.3767
38152,14.70,13.76,176,2860,27.50,13.42,0.00,13.06,15.29,0.92,0.00,0,-1.74,44.29,1.04,-6.25,91,2.64,92.2546
38225,14.81,13.76,176,2877,28.00,13.51,0.00,12.91,15.29,0.91,0.00,0,-1.89,43.88,1.04,-7.03,91,2.62,91.9617
38298,14.81,13.84,176,2883,28.50,13.50,0.00,12.62,14.90,0.91,0.00,0,-2.03,43.19,1.02,-7.03,91,2.62,91.7816
38372,14.81,13.84,176,2874,28.50,13.53,0.00,12.62,14.90,0.90,0.00,0,-2.18,41.97,1.02,-7.03,91,2.60,91.5710
38445,14.81,13.84,176,2859,29.50,12.88,0.00,12.33,14.51,0.89,0.00,0,-2.18,41.56,1.02,-7.81,91,2.58,91.3452
38517,14.93,13.84,176,2864,29.50,12.81,0.00,12.19,14.12,0.87,0.00,0,-2.47,41.16,1.00,-7.81,91,2.58,91.0461
38591,14.81,13.84,176,2862,30.50,12.82,0.00,12.04,13.73,0.84,0.00,0,-2.61,39.79,0.98,-7.81,91,2.56,90.6708
38664,14.93,13.76,176,2866,31.50,12.23,0.00,11.75,13.33,0.81,0.00,0,-3.05,38.70,0.98,-8.59,91,2.52,90.1917
38737,14.81,13.76,176,2878,32.00,11.66,0.00,11.46,12.94,0.78,0.00,0,-3.34,37.17,0.96,-8.59,91,2.52,89.7217
38810,14.93,13.84,176,2876,32.00,11.65,0.00,11.17,12.55,0.75,0.00,0,-3.63,36.32,0.96,-8.59,91,2.50,89.1937
38882,14.93,13.84,176,2866,33.00,11.04,0.00,10.88,12.16,0.74,0.00,0,-3.92,35.35,0.94,-8.59,91,2.48,88.8367
38955,14.93,13.84,176,2862,33.00,11.00,0.00,10.45,12.16,0.73,0.00,0,-4.21,34.75,0.94,-9.38,91,2.46,88.2721
39028,14.81,13.84,176,2868,33.50,10.99,0.00,10.30,12.16,0.71,0.00,0,-4.35,33.66,0.94,-9.38,90,2.44,87.7655
39102,14.93,13.84,176,2864,34.00,10.40,0.00,10.16,12.16,0.71,0.00,0,-4.50,33.42,0.94,-9.38,90,2.44,87.3688
39175,14.81,13.84,176,2870,34.00,10.41,0.00,10.01,11.76,0.70,0.00,0,-4.64,33.17,0.92,-10.16,90,2.44,86.9537
39248,14.81,13.84,176,2871,34.00,10.41,0.00,10.01,11.76,0.69,0.00,0,-4.79,32.45,0.92,-10.16,90,2.42,86.8439
39321,14.81,13.84,176,2871,34.50,10.41,0.00,9.87,11.76,0.68,0.00,0,-4.93,32.34,0.92,-10.16,90,2.42,86.5204
39395,14.81,13.84,176,2864,34.50,10.38,0.00,9.87,11.76,0.68,0.00,0,-4.93,32.34,0.92,-10.16,90,2.42,86.3068
39468,14.81,13.84,176,2867,34.50,10.37,0.00,9.72,11.76,0.68,0.00,0,-5.08,32.33,0.92,-10.94,90,2.42,86.0779
39542,14.81,13.84,176,2869,34.50,10.40,0.00,9.72,11.76,0.67,0.00,0,-5.08,32.21,0.92,-10.94,90,2.40,86.0168
39615,14.70,13.76,176,2867,34.50,10.40,0.00,9.58,11.76,0.66,0.00,0,-5.08,32.09,0.92,-10.94,90,2.40,85.7849
39688,14.70,13.84,176,2878,34.50,10.40,0.00,9.58,11.76,0.65,0.00,0,-5.22,32.21,0.92,-10.94,90,2.40,85.6323
39760,14.70,13.84,176,2873,35.00,10.44,0.00,9.58,11.76,0.68,0.00,0,-5.22,31.76,0.92,-11.72,90,2.40,85.5499
39833,14.70,13.76,176,2864,35.00,10.39,0.00,9.43,11.76,0.67,0.00,0,-5.22,31.43,0.92,-11.72,90,2.38,85.4980
39907,14.70,13.76,176,2868,35.50,9.79,0.00,9.43,11.76,0.66,0.00,0,-5.37,31.33,0.92,-11.72,90,2.40,85.3607
39981,14.81,13.84,176,2857,35.00,10.36,0.00,9.43,11.76,0.66,0.00,0,-5.37,31.43,0.92,-11.72,90,2.40,85.3485
40054,14.81,13.84,176,2860,35.00,10.36,0.00,9.43,11.37,0.66,0.00,0,-5.37,31.43,0.92,-11.72,90,2.38,85.2112
40127,14.81,13.76,176,2816,35.50,9.76,0.00,9.43,11.76,0.66,0.00,0,-5.37,30.77,0.92,-12.50,90,2.38,85.1532
40199,14.70,13.76,176,2867,35.00,9.83,0.00,9.29,11.76,0.66,0.00,0,-5.37,31.34,0.92,-12.50,90,2.40,85.1105
40273,14.81,13.84,176,2870,35.50,9.79,0.00,9.29,11.37,0.66,0.00,0,-5.51,30.88,0.92,-12.50,90,2.38,85.1074
40346,14.70,13.76,178,2866,35.50,9.80,0.00,9.29,11.76,0.65,0.00,0,-5.51,30.77,0.92,-12.50,90,2.38,85.0708
40419,14.59,13.84,178,2854,35.50,9.74,0.00,9.29,11.37,0.65,0.00,0,-5.51,31.22,0.92,-12.50,90,2.38,85.0159
40492,14.70,13.76,176,2854,35.50,9.74,0.00,9.29,11.37,0.64,0.00,0,-5.51,31.10,0.92,-12.50,90,2.38,84.9701
40565,14.81,13.84,176,2856,35.50,9.75,0.00,9.29,11.37,0.65,0.00,0,-5.51,30.88,0.92,-12.50,90,2.38,84.8663
40638,14.81,13.76,176,2852,35.50,9.74,0.00,9.29,11.37,0.64,0.00,0,-5.51,30.66,0.92,-14.84,90,2.38,84.8236
40710,14.70,13.84,176,2867,35.50,9.77,0.00,9.29,11.37,0.64,0.00,0,-5.51,30.55,0.92,-14.84,90,2.38,84.7198
40783,14.93,13.84,176,2868,35.00,9.79,0.00,9.14,11.37,0.65,0.00,0,-5.66,31.12,0.92,-14.84,90,2.38,84.8206
40857,15.04,13.76,178,2867,35.50,9.79,0.00,9.14,11.37,0.64,0.00,0,-5.66,30.44,0.92,-14.84,90,2.38,84.7198
40930,14.93,13.84,178,2852,35.50,9.79,0.00,9.14,11.37,0.64,0.00,0,-5.66,30.44,0.92,-14.84,90,2.38,84.6802
41004,14.81,13.76,178,2844,35.50,9.73,0.00,9.14,11.37,0.65,0.00,0,-5.66,30.44,0.92,-14.84,90,2.38,84.6283
41076,14.81,13.84,178,2852,35.50,9.74,0.00,9.14,11.37,0.64,0.00,0,-5.66,30.22,0.92,-14.84,90,2.36,84.6313
41149,14.70,13.76,178,2850,35.50,9.73,0.00,9.14,11.37,0.63,0.00,0,-5.66,30.13,0.92,-14.84,90,2.38,84.5337
41223,14.70,13.76,178,2854,35.50,9.74,0.00,9.14,11.37,0.64,0.00,0,-5.66,30.44,0.90,-14.84,90,2.36,84.4330
41296,14.93,13.76,178,2867,36.00,9.79,0.00,9.00,11.37,0.63,0.00,0,-5.80,29.90,0.90,-14.84,90,2.36,84.3872
41369,14.70,13.84,178,2857,35.50,9.77,0.00,9.00,11.37,0.62,0.00,0,-5.80,30.11,0.90,-14.84,90,2.36,84.3353
41442,14.70,13.84,178,2862,36.00,9.75,0.00,9.00,11.37,0.64,0.00,0,-5.80,29.90,0.90,-14.84,90,2.36,84.2896
41516,14.70,13.84,178,2838,35.50,9.77,0.00,9.00,10.98,0.62,0.00,0,-5.80,29.79,0.90,-14.84,90,2.34,84.2377
41588,14.70,13.84,178,2842,36.00,9.69,0.00,8.85,10.98,0.61,0.00,0,-5.80,29.24,0.90,-14.84,90,2.34,84.0942
41661,14.81,13.84,178,2845,36.00,9.70,0.00,8.85,10.98,0.62,0.00,0,-5.95,29.24,0.90,-14.84,90,2.34,83.9417
41734,14.70,13.76,178,2845,36.50,9.10,0.00,8.85,10.98,0.61,0.00,0,-5.95,28.92,0.90,-14.84,90,2.32,83.7769
41807,14.81,13.84,178,2860,36.50,9.15,0.00,8.71,10.98,0.61,0.00,0,-6.09,28.80,0.90,-14.84,90,2.34,83.6151
41880,14.81,13.84,178,2858,36.50,9.15,0.00,8.71,10.59,0.60,0.00,0,-6.09,28.58,0.88,-14.84,90,2.34,83.5052
41953,14.70,13.84,178,2856,36.50,9.15,0.00,8.71,10.59,0.60,0.00,0,-6.09,28.59,0.88,-14.84,90,2.32,83.3435
42027,14.70,13.76,178,2844,36.50,9.14,0.00,8.71,10.59,0.59,0.00,0,-6.09,27.95,0.88,-14.84,90,2.32,83.1238
42100,14.70,13.84,178,2846,36.50,9.10,0.00,8.56,10.59,0.59,0.00,0,-6.24,28.17,0.88,-14.84,90,2.32,83.0719
42173,14.70,13.84,178,2840,37.00,9.11,0.00,8.56,10.20,0.58,0.00,0,-6.24,27.55,0.88,-14.84,90,2.30,82.9071
42247,14.70,13.84,178,2844,37.00,9.09,0.00,8.42,10.20,0.58,0.00,0,-6.24,27.86,0.88,-14.84,90,2.32,82.7484
42320,14.70,13.84,178,2841,37.00,9.09,0.00,8.42,10.20,0.58,0.00,0,-6.38,27.33,0.88,-14.84,90,2.30,82.5256
42393,14.81,13.84,178,2854,37.00,9.13,0.00,8.27,10.20,0.57,0.00,0,-6.53,27.23,0.86,-14.84,90,2.30,82.3669
42466,14.70,13.84,178,2854,37.00,8.52,0.00,8.27,9.80,0.57,0.00,0,-6.53,26.92,0.86,-14.84,90,2.30,82.2571
42539,14.59,13.84,178,2856,37.50,8.53,0.00,8.13,9.80,0.56,0.00,0,-6.67,26.82,0.86,-14.84,90,2.28,81.9885
42611,14.47,13.84,178,2846,37.50,8.53,0.00,8.13,9.80,0.56,0.00,0,-6.67,26.51,0.86,-14.84,90,2.28,81.7657
42684,14.59,13.84,178,2845,37.50,8.50,0.00,7.98,9.41,0.55,0.00,0,-6.67,26.41,0.86,-14.84,90,2.28,81.6620
42758,14.59,13.84,178,2838,38.00,8.50,0.00,7.98,9.41,0.54,0.00,0,-6.82,25.78,0.84,-14.84,90,2.26,81.4362
42831,14.70,13.84,178,2841,38.00,8.48,0.00,7.84,9.02,0.53,0.00,0,-6.82,24.89,0.84,-14.84,90,2.24,81.1615
42905,14.59,13.84,178,2844,38.00,8.48,0.00,7.69,9.02,0.51,0.00,0,-6.96,23.94,0.84,-14.84,90,2.22,80.8472
42978,14.70,13.84,178,2857,38.00,7.92,0.00,7.69,9.02,0.51,0.00,0,-7.11,24.13,0.84,-14.84,90,2.22,80.5664
43052,14.70,13.84,178,2850,38.00,7.91,0.00,7.55,8.63,0.51,0.00,0,-7.25,24.13,0.82,-14.84,90,2.22,80.3009
43124,14.70,13.84,178,2852,38.00,7.91,0.00,7.55,8.63,0.51,0.00,0,-7.25,24.13,0.82,-14.84,90,2.22,80.1270
43197,14.47,13.84,178,2852,38.00,7.91,0.00,7.55,8.63,0.50,0.00,0,-7.25,23.93,0.82,-14.84,90,2.22,80.0293
43270,14.47,13.84,178,2835,38.00,7.87,0.00,7.40,8.63,0.50,0.00,0,-7.40,23.65,0.82,-14.84,90,2.20,79.9072
43344,14.47,13.84,178,2836,38.50,7.86,0.00,7.40,8.63,0.49,0.00,0,-7.40,23.55,0.82,-14.84,90,2.22,79.6478
43417,14.59,13.84,178,2838,38.50,7.87,0.00,7.25,8.24,0.48,0.00,0,-7.40,22.79,0.82,-14.84,90,2.18,79.4739
43489,14.59,13.84,178,2840,38.50,7.87,0.00,7.11,8.24,0.48,0.00,0,-7.55,22.05,0.80,-14.84,90,2.18,79.2145
43561,14.70,13.84,178,2854,38.50,7.30,0.00,6.96,7.84,0.47,0.00,0,-7.69,21.78,0.80,-14.84,90,2.16,78.8208
43636,14.70,13.84,178,2854,39.00,7.30,0.00,6.96,7.45,0.45,0.00,0,-7.84,20.95,0.78,-14.84,90,2.14,78.4393
43709,14.59,13.84,178,2852,39.00,7.30,0.00,6.82,7.06,0.44,0.00,0,-7.98,20.41,0.78,-14.84,90,2.12,77.8442
43781,14.59,13.84,178,2849,39.00,6.69,0.00,6.67,7.06,0.42,0.00,0,-8.13,19.60,0.76,-14.84,90,2.12,77.4811
43854,14.59,13.76,178,2835,39.00,6.70,0.00,6.53,6.67,0.41,0.00,0,-8.27,19.68,0.76,-14.84,90,2.10,76.8158
43928,14.70,13.76,178,2827,39.00,6.65,0.00,6.24,6.67,0.39,0.00,0,-8.42,18.71,0.76,-14.84,90,2.08,76.3489
44000,14.70,13.84,178,2835,39.00,6.63,0.00,6.09,6.27,0.39,0.00,0,-8.56,18.27,0.76,-14.84,90,2.06,76.0956
44074,14.70,13.76,178,2832,39.00,6.65,0.00,6.09,6.27,0.38,0.00,0,-8.71,17.58,0.74,-14.84,90,2.06,75.8026
44147,14.81,13.84,178,2831,38.50,6.04,0.00,6.09,6.27,0.38,0.00,0,-8.71,18.04,0.74,-14.84,90,2.04,75.5157
44220,14.70,13.76,178,2842,38.50,6.67,0.00,5.95,5.88,0.38,0.00,0,-8.71,18.04,0.74,-14.84,90,2.06,75.2106
44292,14.81,13.84,178,2852,38.50,6.08,0.00,5.95,5.88,0.37,0.00,0,-8.85,17.50,0.74,-14.84,90,2.04,75.2197
44367,14.70,13.84,178,2838,38.50,6.05,0.00,5.95,5.88,0.38,0.00,0,-8.85,17.81,0.74,-14.84,90,2.06,75.0153
44440,14.59,13.84,178,2848,38.00,6.08,0.00,5.80,5.88,0.37,0.00,0,-9.00,17.13,0.74,-14.84,90,2.04,74.7955
44513,14.59,13.76,178,2825,38.50,6.06,0.00,5.80,5.88,0.36,0.00,0,-9.00,17.36,0.74,-14.84,90,2.04,74.6490
44586,14.59,13.84,178,2828,38.00,6.03,0.00,5.66,5.88,0.36,0.00,0,-9.00,17.06,0.72,-14.84,90,2.02,74.6216
44659,14.70,13.84,178,2827,38.00,6.03,0.00,5.66,5.49,0.36,0.00,0,-9.14,16.71,0.72,-14.84,90,2.02,74.4293
44733,14.70,13.84,178,2824,38.00,6.03,0.00,5.66,5.49,0.35,0.00,0,-9.14,16.77,0.72,-14.84,90,2.00,74.1577
44806,14.70,13.76,178,2827,38.00,6.03,0.00,5.66,5.49,0.35,0.00,0,-9.14,16.35,0.72,-14.84,90,2.00,73.9868
44878,14.59,13.84,178,2838,38.00,6.05,0.00,5.51,5.49,0.35,0.00,0,-9.14,16.29,0.72,-14.84,90,2.00,73.9655
44951,14.70,13.84,178,2838,38.00,6.06,0.00,5.51,5.49,0.34,0.00,0,-9.29,16.16,0.72,-14.84,90,1.98,73.8434
45024,14.70,13.84,178,2834,37.50,6.05,0.00,5.51,5.49,0.34,0.00,0,-9.29,15.89,0.72,-14.84,90,1.98,73.6328
45098,14.70,13.84,178,2831,38.00,6.05,0.00,5.51,5.10,0.34,0.00,0,-9.29,16.22,0.72,-14.84,90,2.00,73.6511
45171,14.81,13.84,178,2835,37.50,6.04,0.00,5.37,5.10,0.34,0.00,0,-9.29,15.89,0.72,-14.84,90,1.98,73.6115
45244,14.70,13.92,178,2817,37.50,6.05,0.00,5.37,5.10,0.34,0.00,0,-9.43,15.89,0.72,-14.84,90,1.98,73.4894
45317,14.81,13.84,178,2820,37.50,6.01,0.00,5.37,5.10,0.34,0.00,0,-9.43,16.09,0.72,-14.84,90,1.98,73.2574
45390,14.70,13.84,178,2817,37.50,6.02,0.00,5.37,5.10,0.34,0.00,0,-9.43,15.95,0.72,-14.84,90,1.98,73.2452
45463,14.59,13.84,178,2818,37.50,6.01,0.00,5.37,5.10,0.34,0.00,0,-9.43,15.95,0.72,-14.84,90,1.98,73.3093
45537,14.59,13.84,178,2811,37.00,5.40,0.00,5.37,5.10,0.33,0.00,0,-9.43,15.54,0.72,-14.84,90,1.98,73.1506
45610,14.59,13.84,178,2832,37.50,6.04,0.00,5.37,5.10,0.33,0.00,0,-9.43,15.61,0.72,-14.84,90,1.98,73.1781
45683,14.70,13.84,178,2829,37.50,6.04,0.00,5.37,5.10,0.34,0.00,0,-9.43,15.75,0.70,-14.84,90,1.98,73.1781
45756,14.70,13.84,178,2830,37.50,6.03,0.00,5.37,5.10,0.34,0.00,0,-9.43,15.81,0.70,-14.84,90,1.98,73.1415
45829,14.70,13.84,178,2824,37.50,6.04,0.00,5.37,5.10,0.33,0.00,0,-9.43,15.81,0.70,-14.84,90,1.98,73.0530
45901,14.70,13.84,178,2829,37.00,5.42,0.00,5.37,5.10,0.34,0.00,0,-9.43,15.81,0.70,-14.84,90,1.98,72.9736
45974,14.59,13.84,178,2812,37.50,6.04,0.00,5.37,5.10,0.34,0.00,0,-9.43,15.95,0.70,-14.84,90,1.98,73.0713
46048,14.59,13.84,178,2816,38.00,6.00,0.00,5.37,5.10,0.33,0.00,0,-9.43,15.81,0.70,-14.84,90,1.98,73.1018
46121,14.59,13.84,178,2811,37.50,5.40,0.00,5.22,5.10,0.33,0.00,0,-9.43,15.61,0.70,-14.84,90,1.98,72.9584
46194,14.59,13.84,178,2811,37.00,5.40,0.00,5.37,5.10,0.33,0.00,0,-9.43,15.61,0.72,-14.84,90,1.98,72.9584
46267,14.59,13.84,178,2812,37.50,5.40,0.00,5.37,5.10,0.34,0.00,0,-9.43,15.81,0.70,-14.84,90,1.98,73.0865
46340,14.70,13.84,178,2808,37.50,5.40,0.00,5.37,5.10,0.34,0.00,0,-9.43,15.68,0.72,-14.84,90,1.98,72.9584
46413,14.70,13.84,178,2762,37.50,5.39,0.00,5.22,5.10,0.33,0.00,0,-9.58,15.61,0.70,-14.84,90,1.98,72.9370
46486,14.70,13.84,178,2820,37.50,5.43,0.00,5.37,5.10,0.33,0.00,0,-9.43,15.67,0.70,-14.84,90,1.98,72.9706
46559,14.70,13.84,178,2826,37.50,5.41,0.00,5.22,5.10,0.34,0.00,0,-9.43,15.67,0.72,-14.84,90,1.98,73.0835
46632,14.70,13.84,178,2820,37.50,6.03,0.00,5.37,5.10,0.33,0.00,0,-9.58,15.81,0.72,-14.84,90,1.98,72.9340
46706,14.59,13.84,178,2824,37.50,5.42,0.00,5.22,5.10,0.34,0.00,0,-9.43,15.61,0.72,-14.84,90,1.98,72.8943
46778,14.59,13.84,178,2820,37.50,6.02,0.00,5.37,5.10,0.34,0.00,0,-9.58,15.95,0.72,-14.84,90,2.00,73.1262
46851,14.59,13.84,178,2813,38.00,6.00,0.00,5.37,5.10,0.34,0.00,0,-9.43,16.09,0.72,-14.84,90,1.98,73.1598
46925,14.59,13.84,178,2806,37.50,5.99,0.00,5.37,5.49,0.35,0.00,0,-9.43,16.16,0.72,-14.84,90,2.00,73.2117
46998,14.59,13.84,178,2804,38.00,6.00,0.00,5.37,5.49,0.35,0.00,0,-9.43,16.43,0.72,-14.84,90,2.00,73.0743
47071,14.47,13.84,178,2809,37.50,5.98,0.00,5.37,5.49,0.35,0.00,0,-9.43,16.09,0.72,-14.84,90,2.00,73.4802
47144,14.59,13.84,178,2808,38.00,5.99,0.00,5.37,5.49,0.35,0.00,0,-9.43,16.42,0.72,-14.84,90,2.00,73.3643
47217,14.47,13.84,178,2806,38.00,5.99,0.00,5.51,5.49,0.35,0.00,0,-9.43,16.63,0.72,-14.84,90,2.02,73.4528
47290,14.59,13.76,178,2824,38.00,5.99,0.00,5.51,5.49,0.35,0.00,0,-9.29,16.77,0.72,-14.84,90,2.02,73.5718
47364,14.70,13.84,178,2820,38.00,6.01,0.00,5.51,5.49,0.35,0.00,0,-9.29,16.63,0.72,-14.84,90,2.02,73.7183
47436,14.59,13.76,176,2820,38.00,6.01,0.00,5.66,5.88,0.36,0.00,0,-9.14,16.77,0.74,-14.84,90,2.02,73.8312
47510,14.59,13.84,178,2820,38.00,6.02,0.00,5.51,5.88,0.36,0.00,0,-9.29,17.06,0.74,-14.84,90,2.02,73.8495
47582,14.59,13.76,178,2821,38.00,6.02,0.00,5.66,5.88,0.36,0.00,0,-9.14,16.99,0.74,-14.84,90,2.02,74.0204
47656,14.70,13.84,178,2820,38.50,6.02,0.00,5.66,5.88,0.37,0.00,0,-9.14,17.36,0.74,-14.84,90,2.04,74.2371
47729,14.70,13.84,178,2810,38.50,6.01,0.00,5.80,6.27,0.38,0.00,0,-9.14,17.36,0.74,-14.84,90,2.04,74.4293
47802,14.70,13.76,176,2807,38.50,6.59,0.00,5.80,6.27,0.38,0.00,0,-9.00,17.97,0.76,-14.84,90,2.06,74.6063
47875,14.81,13.84,176,2810,38.50,6.59,0.00,5.80,6.27,0.38,0.00,0,-9.00,18.12,0.76,-14.84,90,2.06,74.8962
47950,14.59,13.84,176,2808,39.00,6.59,0.00,5.95,6.27,0.39,0.00,0,-9.00,18.11,0.76,-14.84,90,2.06,74.9908
48023,14.59,13.84,176,2808,39.00,6.59,0.00,5.95,6.27,0.39,0.00,0,-8.85,18.11,0.76,-14.84,90,2.06,74.9481
48096,14.47,13.76,176,2804,39.00,6.58,0.00,5.95,6.27,0.39,0.00,0,-8.85,18.57,0.76,-14.84,90,2.06,75.0397
48168,14.59,13.84,176,2808,39.00,6.59,0.00,5.95,6.27,0.39,0.00,0,-8.85,18.34,0.76,-14.84,90,2.06,75.1953
48241,14.59,13.84,176,2820,39.00,6.62,0.00,5.95,6.27,0.39,0.00,0,-8.85,18.27,0.76,-14.84,90,2.06,75.1892
48314,14.59,13.84,176,2824,39.00,6.61,0.00,5.95,6.27,0.39,0.00,0,-8.85,18.27,0.76,-14.84,90,2.06,75.1343
48387,14.70,13.84,176,2817,39.00,6.63,0.00,5.95,6.27,0.39,0.00,0,-8.85,18.34,0.76,-14.84,90,2.08,75.1953
48460,14.70,13.84,176,2818,39.00,6.61,0.00,5.95,6.67,0.39,0.00,0,-8.85,18.43,0.76,-14.84,90,2.08,75.2563
48534,14.81,13.84,176,2818,39.00,6.61,0.00,5.95,6.67,0.39,0.00,0,-8.85,18.27,0.76,-14.84,90,2.06,75.1465
48607,14.70,13.84,176,2813,39.00,6.60,0.00,5.95,6.67,0.40,0.00,0,-8.85,18.34,0.76,-14.84,90,2.08,75.1587
48680,14.81,13.84,176,2807,39.00,6.59,0.00,5.95,6.27,0.40,0.00,0,-8.85,18.50,0.76,-14.84,90,2.08,75.2045
48753,14.70,13.84,176,2804,39.00,6.58,0.00,5.95,6.27,0.40,0.00,0,-8.85,18.72,0.76,-14.84,90,2.08,75.3113
48826,14.59,13.84,176,2797,39.00,6.56,0.00,5.95,6.67,0.39,0.00,0,-8.85,18.64,0.76,-14.84,90,2.06,75.2197
48899,14.59,13.84,176,2802,39.00,6.58,0.00,5.95,6.27,0.39,0.00,0,-8.85,18.42,0.76,-14.84,90,2.06,75.1892
48973,14.59,13.84,176,2799,39.00,6.58,0.00,5.95,6.27,0.40,0.00,0,-8.85,18.43,0.76,-14.84,90,2.08,75.3052
49046,14.59,13.84,176,2800,39.00,6.57,0.00,5.95,6.67,0.40,0.00,0,-8.85,18.43,0.76,-14.84,90,2.06,75.2594
49118,14.70,13.84,176,2817,39.00,6.57,0.00,5.95,6.27,0.39,0.00,0,-8.85,18.49,0.76,-14.84,90,2.06,75.2228
