Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Ignition Total Timing (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Knock Count (Combined) (Knock Events),Manifold Relative Pressure (psi),Mass Airflow (g/s),Throttle Sensor Voltage (V),A/F Learning #1 (%),Intake Air Temperature (F),Mass Airflow Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier)
165138,14.47,13.76,178,2752,37.50,5.28,0.00,5.08,3.53,0.32,0.00,0,-9.29,12.69,0.66,-14.06,90,1.86,72.4823
165210,14.70,13.76,178,2752,36.00,4.70,0.00,4.79,3.53,0.29,0.00,0,-9.72,12.47,0.66,-14.06,91,1.84,71.9147
165283,14.81,13.76,178,2748,35.50,4.69,0.00,4.64,3.53,0.28,0.00,0,-10.01,12.14,0.66,-14.06,91,1.86,71.8689
165356,15.04,13.76,178,2734,35.50,4.67,0.00,4.50,3.53,0.27,0.00,0,-10.30,11.82,0.66,-14.06,90,1.84,71.8567
165429,15.50,13.84,178,2727,35.00,4.65,0.00,4.50,3.14,0.26,0.00,0,-10.30,12.03,0.66,-14.06,90,1.84,71.8475
165502,15.62,13.76,178,2757,35.50,4.71,0.00,4.50,3.14,0.26,0.00,0,-10.30,12.31,0.66,-14.06,90,1.82,71.9055
165575,15.73,13.76,178,2732,35.00,4.71,0.00,4.35,3.14,0.26,0.00,0,-10.45,12.04,0.66,-14.06,90,1.84,71.8903
165647,15.62,13.76,178,2713,35.50,4.66,0.00,4.35,3.14,0.27,0.00,0,-10.45,12.20,0.66,-14.06,90,1.84,71.7804
165720,15.16,13.76,178,2710,35.00,4.63,0.00,4.35,3.14,0.26,0.00,0,-10.45,11.88,0.66,-14.06,90,1.82,71.7865
165794,15.04,13.76,178,2728,35.00,4.63,0.00,4.35,3.14,0.26,0.00,0,-10.45,11.88,0.66,-14.06,90,1.82,71.8353
165867,14.81,13.76,178,2731,35.00,4.66,0.00,4.35,3.53,0.26,0.00,0,-10.45,11.99,0.66,-14.06,90,1.82,71.8262
165940,14.70,13.76,178,2735,35.00,4.67,0.00,4.35,3.53,0.26,0.00,0,-10.45,11.88,0.66,-14.06,90,1.82,71.8353
166013,14.59,13.76,178,2721,35.00,4.64,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.88,0.66,-14.06,90,1.82,71.8231
166086,14.59,13.76,178,2719,35.00,4.64,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.66,0.66,-14.06,90,1.82,71.8018
166160,14.59,13.84,178,2714,35.00,4.63,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.93,0.66,-14.06,90,1.82,71.7896
166232,14.59,13.84,176,2714,35.00,4.63,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.88,0.66,-14.06,90,1.82,71.8201
166305,14.59,13.76,176,2700,35.00,4.63,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.82,0.66,-14.06,90,1.82,71.7926
166379,14.59,13.76,178,2696,35.00,4.61,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.71,0.66,-14.06,90,1.82,71.7316
166452,14.59,13.76,178,2712,35.00,4.60,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.77,0.66,-14.06,90,1.82,71.7987
166524,14.59,13.76,178,2704,35.00,4.61,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.77,0.66,-14.06,90,1.82,71.7957
166598,14.47,13.76,178,2695,35.00,4.60,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.99,0.66,-14.06,90,1.82,71.7346
166670,14.47,13.76,178,2707,35.00,4.62,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.88,0.66,-14.06,90,1.82,71.7377
166744,14.59,13.76,176,2702,35.00,4.61,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.88,0.66,-14.06,91,1.82,71.7499
166817,14.59,13.76,176,2698,35.00,4.63,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.71,0.66,-14.06,91,1.80,71.7438
166890,14.47,13.76,176,2704,35.00,4.61,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.77,0.66,-14.06,91,1.82,71.7255
166964,14.47,13.76,176,2687,35.00,4.62,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.66,0.66,-14.06,91,1.82,71.7224
167036,14.59,13.76,176,2684,35.00,4.59,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.71,0.66,-14.06,91,1.80,71.7163
167110,14.59,13.76,176,2704,35.00,4.58,0.00,4.21,3.14,0.26,0.00,0,-10.59,11.77,0.66,-14.06,91,1.82,71.7010
167183,14.59,13.76,176,2702,35.00,4.61,0.00,4.21,3.53,0.26,0.00,0,-10.59,11.88,0.66,-14.06,91,1.82,71.7346
167257,14.59,13.76,176,2676,35.50,4.57,0.00,4.21,4.71,0.27,0.00,0,-10.59,12.31,0.70,-14.06,91,1.84,71.7194
167328,14.36,13.76,176,2665,36.00,5.12,0.00,4.50,5.49,0.31,0.00,0,-10.30,13.38,0.72,-14.06,91,1.90,71.6949
167402,14.59,13.76,176,2636,36.50,5.13,0.00,4.64,5.88,0.33,0.00,0,-10.16,14.56,0.76,-14.06,91,1.94,71.7102
167475,14.59,13.68,176,2732,37.50,5.76,0.00,4.93,8.63,0.39,0.00,0,-9.87,15.89,0.84,-14.06,91,2.00,72.3602
167549,14.36,13.76,176,2686,38.00,7.97,0.00,6.38,9.41,0.50,0.00,0,-9.00,21.23,0.84,-14.06,90,2.16,74.8993
167620,13.67,13.76,176,2660,38.00,7.45,0.00,6.82,9.41,0.52,0.00,0,-8.42,23.36,0.86,-14.06,90,2.20,76.8890
167694,12.86,13.68,176,2678,38.00,7.38,0.00,7.11,9.80,0.53,0.00,0,-7.98,23.85,0.86,-14.06,91,2.22,78.1281
167768,12.86,13.76,176,2686,37.50,7.45,0.00,7.40,10.20,0.54,0.00,0,-7.69,24.32,0.88,-14.84,91,2.24,79.0863
167840,14.01,13.76,176,2674,37.00,7.99,0.00,7.55,10.20,0.56,0.00,0,-7.25,24.88,0.88,-14.84,91,2.24,79.4403
167914,14.93,13.76,176,2676,37.00,7.99,0.00,7.69,10.59,0.57,0.00,0,-7.11,25.37,0.88,-14.84,91,2.26,79.9164
167986,14.70,13.76,176,2674,36.50,7.98,0.00,7.84,10.59,0.58,0.00,0,-6.96,25.78,0.88,-14.84,91,2.28,80.3650
168060,14.70,13.76,176,2671,36.50,7.99,0.00,7.84,10.98,0.59,0.00,0,-6.96,26.09,0.90,-14.84,91,2.28,80.7770
168133,14.81,13.76,176,2665,36.50,7.98,0.00,8.13,10.98,0.60,0.00,0,-6.82,26.30,0.90,-14.84,91,2.28,81.0822
168206,14.70,13.84,176,2660,36.00,7.96,0.00,8.13,10.98,0.59,0.00,0,-6.67,26.62,0.90,-14.84,91,2.28,81.4636
168279,14.93,13.76,176,2672,36.00,8.51,0.00,8.27,10.98,0.62,0.00,0,-6.67,27.13,0.90,-14.84,91,2.28,81.6101
168351,14.93,13.76,176,2656,36.00,8.55,0.00,8.42,11.37,0.61,0.00,0,-6.53,27.44,0.90,-14.84,91,2.30,82.0129
168425,15.04,13.76,176,2660,35.50,8.51,0.00,8.42,10.98,0.62,0.00,0,-6.38,27.54,0.90,-14.84,91,2.30,82.2052
168497,14.81,13.84,176,2663,35.50,8.52,0.00,8.56,11.37,0.62,0.00,0,-6.38,27.75,0.90,-14.84,91,2.32,82.4066
168572,14.93,13.76,176,2660,35.50,8.51,0.00,8.56,11.37,0.63,0.00,0,-6.24,27.86,0.90,-14.84,91,2.32,82.5653
168644,14.93,13.76,176,2670,35.50,9.11,0.00,8.56,11.37,0.63,0.00,0,-6.24,27.95,0.90,-14.84,91,2.32,82.7728
168717,14.70,13.76,176,2676,35.50,8.56,0.00,8.56,11.37,0.64,0.00,0,-6.24,28.16,0.92,-14.84,91,2.32,82.8674
168790,14.81,13.76,176,2670,35.00,9.14,0.00,8.71,11.37,0.63,0.00,0,-6.09,28.17,0.92,-14.84,91,2.32,83.0231
168864,14.70,13.76,176,2668,35.50,8.54,0.00,8.71,11.37,0.64,0.00,0,-6.09,28.17,0.92,-14.84,91,2.32,83.1482
168936,14.81,13.76,176,2671,35.00,9.11,0.00,8.85,11.37,0.64,0.00,0,-6.09,28.38,0.92,-14.84,91,2.32,83.2825
169010,14.70,13.76,176,2660,35.50,9.12,0.00,8.85,11.37,0.65,0.00,0,-5.95,28.69,0.92,-14.84,91,2.32,83.4503
169082,14.70,13.76,176,2664,35.00,9.09,0.00,8.85,11.37,0.64,0.00,0,-5.95,28.70,0.92,-14.84,91,2.34,83.4839
169155,14.81,13.76,176,2665,35.00,9.10,0.00,8.85,11.37,0.64,0.00,0,-5.95,28.81,0.92,-14.84,91,2.32,83.6029
169229,14.70,13.76,176,2653,34.50,9.05,0.00,8.85,11.37,0.66,0.00,0,-5.95,29.02,0.92,-14.84,91,2.34,83.6700
169302,14.81,13.76,176,2661,35.00,9.08,0.00,9.00,11.37,0.66,0.00,0,-5.80,29.13,0.92,-14.84,91,2.34,83.7677
169375,14.81,13.76,176,2668,34.50,9.13,0.00,9.00,11.37,0.65,0.00,0,-5.80,29.13,0.92,-14.84,91,2.34,83.8562
169447,14.59,13.76,176,2676,35.00,9.11,0.00,9.00,11.37,0.66,0.00,0,-5.80,29.03,0.92,-14.84,91,2.34,83.8470
169521,14.70,13.76,176,2672,34.50,9.13,0.00,9.00,11.37,0.65,0.00,0,-5.80,29.13,0.92,-14.84,91,2.34,83.9050
169595,14.70,13.76,176,2664,34.50,9.12,0.00,9.00,11.37,0.65,0.00,0,-5.80,29.02,0.92,-14.84,91,2.34,83.9752
169668,14.81,13.76,176,2672,34.50,9.09,0.00,9.00,11.37,0.65,0.00,0,-5.80,29.35,0.92,-14.84,91,2.34,83.9081
169740,14.70,13.76,176,2660,34.50,9.08,0.00,9.00,11.37,0.66,0.00,0,-5.80,29.35,0.92,-14.84,91,2.34,83.9478
169814,14.70,13.76,176,2658,34.50,9.07,0.00,9.00,11.37,0.66,0.00,0,-5.80,29.35,0.92,-14.84,91,2.34,83.9661
169887,14.59,13.76,176,2665,34.50,9.10,0.00,9.00,11.37,0.66,0.00,0,-5.80,29.13,0.92,-14.84,91,2.34,83.9752
169960,14.70,13.76,176,2658,34.50,9.07,0.00,9.00,11.37,0.66,0.00,0,-5.80,29.35,0.92,-14.84,91,2.34,84.0576
170033,14.70,13.76,176,2660,34.50,9.08,0.00,9.00,11.37,0.65,0.00,0,-5.80,29.02,0.92,-14.84,91,2.34,83.9874
170107,14.81,13.76,176,2665,34.50,9.08,0.00,9.00,11.37,0.65,0.00,0,-5.80,28.81,0.92,-14.84,91,2.32,84.0332
170179,14.81,13.76,176,2672,35.00,9.10,0.00,9.00,11.37,0.66,0.00,0,-5.80,28.80,0.92,-14.84,91,2.34,84.0790
170252,14.81,13.76,176,2670,34.50,9.12,0.00,9.00,11.37,0.65,0.00,0,-5.80,28.49,0.92,-14.84,91,2.34,83.9905
170325,14.70,13.76,176,2671,34.50,9.12,0.00,9.00,11.37,0.65,0.00,0,-5.80,28.81,0.92,-14.84,91,2.34,84.0424
170398,14.70,13.76,176,2672,35.00,9.69,0.00,9.00,11.37,0.65,0.00,0,-5.80,29.02,0.92,-14.84,91,2.34,84.0759
170473,14.81,13.76,176,2662,34.50,9.09,0.00,9.00,11.37,0.66,0.00,0,-5.80,29.24,0.92,-14.84,90,2.34,84.0271
170546,14.81,13.68,176,2662,34.50,9.09,0.00,9.00,11.37,0.65,0.00,0,-5.80,29.13,0.92,-14.84,90,2.34,83.9935
170619,14.59,13.76,176,2658,34.50,9.07,0.00,9.00,11.37,0.66,0.00,0,-5.80,29.13,0.92,-14.84,90,2.34,83.9844
170692,14.59,13.76,176,2662,35.00,9.07,0.00,9.14,11.37,0.65,0.00,0,-5.80,28.59,0.92,-14.84,90,2.32,84.1187
170765,14.59,13.68,176,2656,34.50,9.09,0.00,9.00,11.37,0.65,0.00,0,-5.66,29.03,0.92,-14.84,90,2.34,84.0759
170838,14.81,13.76,176,2672,35.00,9.07,0.00,9.00,11.37,0.66,0.00,0,-5.80,29.35,0.92,-14.84,90,2.36,84.0393
170911,14.70,13.76,176,2672,34.50,9.12,0.00,9.00,11.37,0.66,0.00,0,-5.80,29.13,0.92,-14.84,90,2.34,84.0424
170985,14.81,13.76,176,2671,34.50,9.12,0.00,9.14,11.37,0.66,0.00,0,-5.80,29.35,0.92,-14.84,90,2.34,84.0759
171057,14.59,13.76,176,2669,34.50,9.11,0.00,9.00,11.37,0.66,0.00,0,-5.80,29.13,0.92,-14.84,90,2.34,84.0698
171130,14.59,13.76,176,2667,34.50,9.10,0.00,9.00,11.37,0.66,0.00,0,-5.80,29.24,0.92,-14.84,90,2.34,84.0393
171203,14.81,13.76,176,2658,34.50,9.11,0.00,9.00,11.37,0.66,0.00,0,-5.80,28.92,0.92,-14.84,90,2.34,84.0393
171276,14.70,13.76,176,2662,35.00,9.07,0.00,9.00,11.37,0.66,0.00,0,-5.80,28.80,0.92,-14.84,90,2.34,84.0668
171350,14.59,13.76,176,2654,34.50,9.09,0.00,9.00,11.37,0.65,0.00,0,-5.80,29.24,0.92,-14.84,90,2.34,84.0668
171422,14.70,13.76,176,2656,34.50,9.06,0.00,9.00,11.37,0.66,0.00,0,-5.80,29.03,0.92,-14.84,90,2.34,83.9966
171496,14.59,13.84,176,2660,34.50,9.07,0.00,9.00,11.37,0.66,0.00,0,-5.80,29.02,0.92,-14.84,90,2.34,83.9935
171569,14.81,13.76,176,2664,35.00,9.09,0.00,9.00,11.37,0.66,0.00,0,-5.80,28.70,0.92,-14.84,90,2.34,83.9569
171642,14.59,13.76,176,2665,35.00,9.10,0.00,9.00,11.37,0.65,0.00,0,-5.80,28.58,0.92,-14.84,90,2.34,84.0088
171715,14.70,13.84,176,2667,35.00,9.10,0.00,9.00,11.37,0.64,0.00,0,-5.80,28.49,0.92,-14.84,90,2.32,83.9905
171788,14.70,13.84,176,2668,35.00,9.11,0.00,9.00,11.37,0.65,0.00,0,-5.80,28.80,0.90,-14.84,90,2.34,83.9447
171863,14.81,13.76,176,2660,35.00,9.10,0.00,9.00,11.37,0.65,0.00,0,-5.80,28.80,0.90,-14.84,90,2.32,83.9081
171935,14.70,13.84,176,2656,35.00,9.65,0.00,8.85,10.98,0.64,0.00,0,-5.80,28.81,0.90,-14.84,90,2.32,83.8135
172008,14.70,13.76,176,2654,35.50,9.06,0.00,8.71,10.59,0.63,0.00,0,-5.95,27.44,0.88,-14.84,90,2.30,83.4564
172081,14.59,13.76,176,2654,35.50,9.06,0.00,8.56,10.59,0.61,0.00,0,-6.09,26.92,0.88,-14.84,90,2.28,83.0109
172154,14.59,13.76,176,2656,36.00,8.49,0.00,8.56,10.20,0.60,0.00,0,-6.24,26.51,0.88,-14.84,90,2.28,82.5836
172226,14.59,13.84,176,2654,36.00,8.49,0.00,8.42,10.20,0.60,0.00,0,-6.24,26.40,0.88,-14.84,90,2.28,82.4188
172300,14.70,13.76,176,2666,36.00,8.53,0.00,8.42,10.20,0.60,0.00,0,-6.38,26.72,0.88,-14.84,90,2.28,82.2052
172374,14.70,13.84,176,2668,36.00,8.54,0.00,8.42,10.20,0.60,0.00,0,-6.38,26.72,0.88,-14.84,90,2.28,82.1594
172446,14.59,13.76,176,2654,36.50,8.49,0.00,8.27,10.20,0.59,0.00,0,-6.53,26.30,0.88,-14.84,90,2.28,82.0740
172519,14.70,13.76,176,2670,36.50,8.53,0.00,8.27,10.20,0.59,0.00,0,-6.53,26.20,0.88,-14.84,90,2.28,81.8848
172594,14.59,13.76,176,2650,36.50,8.54,0.00,8.27,10.20,0.60,0.00,0,-6.53,26.41,0.88,-14.84,90,2.28,81.7444
172666,14.59,13.76,176,2656,36.00,8.48,0.00,8.27,10.20,0.59,0.00,0,-6.53,25.88,0.88,-14.84,90,2.28,81.7688
172739,14.70,13.76,176,2653,36.50,8.50,0.00,8.27,10.20,0.59,0.00,0,-6.53,26.09,0.88,-14.84,90,2.28,81.7139
172812,14.59,13.76,176,2636,36.50,8.49,0.00,8.27,10.20,0.59,0.00,0,-6.53,26.09,0.88,-14.84,90,2.28,81.6956
172885,14.59,13.84,176,2645,36.50,8.46,0.00,8.27,10.20,0.59,0.00,0,-6.53,26.20,0.88,-14.84,90,2.28,81.7749
172959,14.47,13.76,176,2666,36.50,8.53,0.00,8.27,10.20,0.60,0.00,0,-6.53,26.09,0.88,-14.84,90,2.26,81.6467
173032,14.47,13.76,176,2662,36.50,8.52,0.00,8.27,10.20,0.59,0.00,0,-6.53,26.09,0.88,-14.84,90,2.26,81.6254
173105,14.70,13.76,176,2663,36.50,8.53,0.00,8.13,10.20,0.59,0.00,0,-6.67,26.09,0.88,-14.84,90,2.28,81.5460
173178,14.59,13.76,176,2654,36.50,7.95,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.48,0.88,-14.84,90,2.26,81.5582
173251,14.70,13.76,176,2644,36.50,8.49,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.98,0.88,-14.84,90,2.26,81.5002
173325,14.70,13.76,176,2642,36.50,8.46,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.99,0.88,-14.84,90,2.26,81.4209
173397,14.59,13.76,176,2646,36.50,8.45,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.67,0.88,-14.84,90,2.28,81.4941
173471,14.59,13.76,176,2652,36.50,7.92,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.67,0.88,-14.84,90,2.26,81.3721
173543,14.47,13.76,176,2649,36.50,8.48,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.67,0.88,-14.84,90,2.26,81.3446
173616,14.59,13.76,176,2653,36.50,8.49,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.67,0.88,-14.84,90,2.26,81.3232
173689,14.59,13.76,176,2662,36.50,8.52,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.88,0.88,-14.84,90,2.26,81.3049
173762,14.59,13.68,176,2656,36.50,7.92,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.57,0.88,-14.84,90,2.26,81.3660
173835,14.70,13.68,176,2641,36.50,7.93,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.57,0.88,-14.84,90,2.26,81.2683
173909,14.70,13.76,176,2642,36.50,8.45,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.99,0.88,-14.84,90,2.28,81.2531
173982,14.59,13.68,176,2637,36.50,8.46,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.27,0.88,-14.84,90,2.26,81.2683
174055,14.70,13.76,176,2644,36.50,7.88,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.47,0.88,-14.84,90,2.26,81.2927
174128,14.47,13.76,176,2636,36.50,8.44,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.47,0.88,-14.84,90,2.26,81.2866
174201,14.70,13.76,176,2652,36.50,8.49,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.57,0.88,-14.84,90,2.26,81.2561
174274,14.81,13.68,176,2656,36.50,8.50,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.78,0.88,-14.84,90,2.26,81.2744
174347,14.59,13.76,176,2648,36.50,8.47,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.67,0.88,-14.84,90,2.26,81.2531
174421,14.59,13.68,176,2640,36.50,8.48,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.78,0.88,-14.84,90,2.26,81.2286
174493,14.59,13.76,176,2631,36.50,7.88,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.48,0.88,-14.84,90,2.26,81.1615
174566,14.59,13.76,176,2636,36.50,7.86,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.47,0.88,-14.84,90,2.26,81.3141
174639,14.70,13.68,176,2642,36.50,8.44,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.67,0.88,-14.84,90,2.26,81.2653
174712,14.70,13.76,176,2642,36.50,8.45,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.57,0.88,-14.84,90,2.26,81.3019
174786,14.70,13.76,176,2641,36.50,7.89,0.00,8.13,10.20,0.57,0.00,0,-6.67,25.27,0.88,-14.84,90,2.26,81.2622
174859,14.59,13.76,176,2642,36.50,8.46,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.67,0.88,-14.84,90,2.26,81.2195
174932,14.59,13.84,176,2648,36.50,7.91,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.37,0.88,-14.84,90,2.26,81.2531
175006,14.70,13.76,176,2627,36.50,8.48,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.48,0.88,-14.84,90,2.26,81.4056
175077,14.70,13.76,176,2637,36.50,7.85,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.37,0.88,-14.84,90,2.26,81.3904
175151,14.59,13.84,176,2635,36.50,8.44,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.57,0.88,-14.84,90,2.26,81.3354
175224,14.70,13.76,176,2628,36.50,8.43,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.67,0.88,-14.84,90,2.26,81.2805
175296,14.59,13.84,176,2645,36.50,8.41,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.88,0.88,-14.84,90,2.26,81.3568
175370,14.59,13.76,176,2642,36.50,8.45,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.57,0.88,-14.84,90,2.26,81.3782
175443,14.70,13.84,176,2637,36.50,8.44,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.88,0.88,-14.84,90,2.26,81.3660
175516,14.70,13.76,176,2640,36.50,8.45,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.57,0.88,-14.84,90,2.26,81.3324
175590,14.70,13.76,176,2645,36.50,8.46,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.88,0.88,-15.62,90,2.28,81.4117
175662,14.70,13.76,176,2630,36.50,8.40,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.47,0.88,-15.62,90,2.26,81.3385
175735,14.59,13.76,176,2628,36.50,8.42,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.57,0.88,-15.62,90,2.26,81.4850
175809,14.70,13.76,176,2628,36.50,8.41,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.88,0.88,-15.62,90,2.26,81.4331
175881,14.70,13.76,176,2641,36.50,8.41,0.00,8.13,10.20,0.58,0.00,0,-6.67,25.67,0.88,-15.62,90,2.26,81.4545
175954,14.70,13.76,176,2636,36.50,8.45,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.57,0.88,-15.62,90,2.26,81.3721
176027,14.70,13.76,176,2634,36.50,8.43,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.88,0.88,-15.62,90,2.28,81.4697
176100,14.81,13.76,176,2642,36.50,7.89,0.00,8.13,10.20,0.59,0.00,0,-6.67,25.67,0.88,-15.62,90,2.26,81.4911
176173,14.59,13.76,176,2626,36.50,8.40,0.00,8.27,10.20,0.59,0.00,0,-6.53,25.88,0.88,-15.62,90,2.26,81.5399
176246,14.70,13.76,176,2626,36.00,8.40,0.00,8.13,10.20,0.59,0.00,0,-6.67,26.09,0.88,-15.62,90,2.28,81.5033
176319,14.59,13.76,176,2625,36.50,8.41,0.00,8.27,10.20,0.59,0.00,0,-6.53,25.87,0.88,-15.62,90,2.26,81.5063
176391,14.70,13.76,176,2636,36.50,8.40,0.00,8.27,10.20,0.60,0.00,0,-6.67,25.57,0.88,-15.62,90,2.26,81.5460
176465,14.59,13.76,176,2641,36.50,8.44,0.00,8.27,10.20,0.59,0.00,0,-6.53,25.88,0.88,-15.62,90,2.26,81.5216
176538,14.70,13.76,176,2628,36.50,8.45,0.00,8.27,10.20,0.60,0.00,0,-6.53,26.09,0.88,-15.62,90,2.28,81.5613
176612,14.59,13.76,176,2630,36.50,8.42,0.00,8.27,10.20,0.59,0.00,0,-6.53,25.88,0.88,-15.62,90,2.26,81.6101
176685,14.70,13.84,176,2630,36.50,8.41,0.00,8.27,10.20,0.58,0.00,0,-6.53,25.78,0.88,-15.62,90,2.28,81.6864
176757,14.70,13.76,176,2621,36.00,8.39,0.00,8.27,10.20,0.60,0.00,0,-6.53,26.30,0.88,-15.62,90,2.28,81.6406
176830,14.70,13.76,176,2622,36.50,8.39,0.00,8.27,10.20,0.59,0.00,0,-6.53,25.88,0.88,-15.62,90,2.26,81.5643
176904,14.59,13.76,176,2631,36.50,8.43,0.00,8.27,10.20,0.59,0.00,0,-6.53,25.87,0.88,-15.62,90,2.26,81.6498
176977,14.70,13.76,176,2630,36.50,8.42,0.00,8.27,10.20,0.59,0.00,0,-6.53,25.98,0.88,-15.62,90,2.26,81.7200
177050,14.59,13.76,176,2633,36.00,8.41,0.00,8.27,10.20,0.60,0.00,0,-6.53,26.51,0.88,-15.62,90,2.28,81.7780
177123,14.81,13.76,176,2620,36.00,8.43,0.00,8.27,10.59,0.61,0.00,0,-6.53,26.09,0.88,-15.62,90,2.28,81.8573
177196,14.70,13.76,176,2618,36.00,8.38,0.00,8.42,10.59,0.61,0.00,0,-6.53,27.03,0.88,-15.62,90,2.28,82.0282
177269,14.59,13.84,176,2618,35.50,8.38,0.00,8.42,10.59,0.62,0.00,0,-6.38,27.13,0.90,-15.62,90,2.30,82.2571
177342,14.70,13.76,176,2614,35.50,8.36,0.00,8.56,10.98,0.62,0.00,0,-6.24,27.13,0.90,-15.62,90,2.30,82.3853
177416,14.59,13.76,176,2631,35.50,8.42,0.00,8.56,10.98,0.62,0.00,0,-6.24,27.13,0.90,-15.62,90,2.30,82.5653
177488,14.59,13.68,176,2626,35.50,8.96,0.00,8.56,10.98,0.63,0.00,0,-6.24,27.65,0.90,-15.62,90,2.30,82.8888
177561,14.70,13.76,176,2636,35.00,8.97,0.00,8.71,10.98,0.65,0.00,0,-6.09,27.86,0.90,-15.62,90,2.32,83.0353
177635,14.59,13.76,176,2618,35.00,9.00,0.00,8.85,11.37,0.64,0.00,0,-5.95,28.06,0.90,-15.62,90,2.32,83.2123
177707,14.59,13.76,176,2608,34.50,8.94,0.00,8.85,11.37,0.65,0.00,0,-5.95,28.17,0.90,-15.62,90,2.32,83.4412
177780,14.70,13.76,176,2625,34.50,8.90,0.00,9.00,11.37,0.65,0.00,0,-5.95,28.38,0.90,-15.62,90,2.32,83.5999
177854,14.59,13.68,176,2625,34.50,8.96,0.00,9.00,11.37,0.66,0.00,0,-5.80,28.70,0.90,-15.62,90,2.32,83.7097
177927,14.70,13.76,176,2625,34.50,8.96,0.00,9.00,11.37,0.66,0.00,0,-5.80,28.58,0.92,-15.62,90,2.32,83.8074
178001,14.70,13.68,176,2630,34.50,8.98,0.00,9.00,11.37,0.65,0.00,0,-5.80,28.38,0.92,-15.62,90,2.32,83.8715
178074,14.70,13.76,176,2618,34.50,8.94,0.00,9.14,11.37,0.65,0.00,0,-5.66,28.49,0.92,-15.62,90,2.32,83.9966
178147,14.70,13.68,176,2622,34.50,8.92,0.00,9.00,11.37,0.66,0.00,0,-5.80,28.69,0.92,-15.62,90,2.32,83.9508
178219,14.81,13.76,176,2613,34.00,8.95,0.00,9.14,11.37,0.67,0.00,0,-5.66,29.13,0.92,-15.62,90,2.34,84.1064
178292,14.81,13.76,176,2598,34.00,8.92,0.00,9.14,11.37,0.66,0.00,0,-5.66,29.13,0.92,-15.62,90,2.34,84.2194
178365,14.70,13.76,176,2632,34.00,8.87,0.00,9.14,11.37,0.68,0.00,0,-5.66,29.68,0.92,-15.62,90,2.36,84.4208
178439,14.70,13.76,176,2628,34.00,8.98,0.00,9.29,11.37,0.68,0.00,0,-5.66,29.46,0.92,-15.62,90,2.34,84.4208
